facilityname,facilityaddress,borough,postcode,latitude,longitude
Engine 4/Ladder 15,42 South Street,Manhattan,10005,40.703694,-74.007717
Engine 6,49 Beekman Street,Manhattan,10038,40.709971,-74.005395
Manhattan Borough Command/Battalion 1/Engine 7/Ladder 1,100 Duane Street,Manhattan,10007,40.715339,-74.0063
Ladder 8,14 N. Moore Street,Manhattan,10013,40.719574,-74.00662
Engine 9/Ladder 6,75 Canal Street,Manhattan,10002,40.715408,-73.992834
Battalion 4/Engine 15/Ladder 18,25 Pitt Street,Manhattan,10002,40.716439,-73.983927
Engine 28/Ladder 11,222 East 2 Street,Manhattan,10009,40.721879,-73.982526
Engine 5,340 East 14 Street,Manhattan,10003,40.731494,-73.983407
Division 1/Ladder 20,253 Lafayette Street,Manhattan,10012,40.723026,-73.996571
Engine 33/Ladder 9,42 Great Jones Street,Manhattan,10012,40.726986,-73.992526
Battalion 6/Ladder 3,108 East 13 Street,Manhattan,10003,40.733093,-73.989443
Squad 18,132 West 10 Street,Manhattan,10014,40.734518,-74.000381
Engine 34/Ladder 21,440 West 38th Street,Manhattan,10018,40.756593,-73.996471
Engine 26,220 West 37 Street,Manhattan,10018,40.753107,-73.990376
Battalion 7/Engine 3/Ladder 12,150 West 19 Street,Manhattan,10011,40.741196,-73.996868
Engine 1/Ladder 24,142 West 31 Street,Manhattan,10001,40.748474,-73.991188
Engine 14,14 East 18 Street,Manhattan,10003,40.737948,-73.991035
Engine 16/Ladder 7,234 East 29 Street,Manhattan,10016,40.741676,-73.97888
Engine 21,238 East 40 Street,Manhattan,10016,40.748642,-73.974027
Battalion 9/Engine 54/Ladder 4,782 Eighth Avenue,Manhattan,10036,40.76072,-73.986793
Engine 23,215 W 58th Street,Manhattan,10019,40.766699,-73.980368
Engine 40/Ladder 35,131 Amsterdam Avenue,Manhattan,10023,40.774562,-73.984225
Division 3/Ladder 25,207 West 77th Street,Manhattan,10024,40.78223,-73.979841
Engine 74,120 West 83 Street,Manhattan,10024,40.784697,-73.974602
Battalion 8/Engine 8/Ladder 2,165 East 51 Street,Manhattan,10022,40.756891,-73.970805
Engine 44,221 East 75 Street,Manhattan,10021,40.771454,-73.958154
Battalion 10/Engine 22/Ladder 13,159 East 85 Street,Manhattan,10028,40.778622,-73.955311
Engine 58/Ladder 26,1367 Fifth Avenue,Manhattan,10029,40.798913,-73.947333
Engine 53/Ladder 43,1836 Third Avenue,Manhattan,10029,40.788923,-73.946985
Engine 91,242 East 111 Street,Manhattan,10029,40.793843,-73.940791
Battalion 12/Engine 35/Ladder 14,2282 Third Avenue,Manhattan,10035,40.803297,-73.936522
Battalion 11/Engine 76/Ladder 22,145 West 100th St.,Manhattan,10025,40.796449,-73.967261
Engine 47,500 West 113 Street,Manhattan,10025,40.804946,-73.962932
Engine 59/Ladder 30,111 West 133 Street,Manhattan,10030,40.813332,-73.94245
Engine 37/Ladder 40,415 West 125 Street,Manhattan,10027,40.811921,-73.9546
Engine 84/Ladder 34,513 West 161 Street,Manhattan,10032,40.835918,-73.940959
Engine 95/Ladder 36,29 Vermilyea Avenue,Manhattan,10034,40.864897,-73.925154
Engine 55,363 Broome Street,Manhattan,10013,40.719841,-73.99576
Rescue 1,530 West 43 Street,Manhattan,10036,40.760727,-73.996616
Engine 39/Ladder 16,157 E 67th St,Manhattan,10065,40.767062,-73.963612
Battalion 16/Engine 69/Ladder 28,248 West 143 Street,Manhattan,10030,40.820847,-73.941821
Engine 80/Ladder 23,503 West 139 Street,Manhattan,10031,40.821948,-73.950762
Battalion 13/Engine 93/Ladder 45,515 West 181 Street,Manhattan,10033,40.848722,-73.931662
Engine 10/Ladder 10,124 Liberty Street,Manhattan,10006,40.709819,-74.012608
Engine 65,33 West 43 Street,Manhattan,10036,40.754975,-73.981979
Battalion 2/Engine 24/Ladder 5,227 Sixth Avenue,Manhattan,10014,40.728041,-74.003434
Engine 67,518 West 170 Street,Manhattan,10032,40.841279,-73.937195
Marine 1,20 Rear Bloomfield Street,Manhattan,10014,40.740647,-74.011815
