tract_id,STATEFP,COUNTYFP,TRACTCE,POPULATION,latitude,longitude
36061000201,36,061,000201,2012,40.712984,-73.986012
36061000202,36,061,000202,7266,40.712518,-73.981759
36061000500,36,061,000500,5,40.689897,-74.018945
36061000600,36,061,000600,11616,40.712049,-73.989834
36061000700,36,061,000700,10542,40.706018,-74.008947
36061000800,36,061,000800,10871,40.711851,-73.995177
36061000900,36,061,000900,2016,40.704757,-74.011187
36061001001,36,061,001001,1767,40.714318,-73.978418
36061001002,36,061,001002,6300,40.717521,-73.977734
36061001200,36,061,001200,3776,40.715636,-73.982522
36061001300,36,061,001300,5402,40.707611,-74.014617
36061001401,36,061,001401,3543,40.715158,-73.987277
36061001402,36,061,001402,3418,40.717592,-73.985925
36061001501,36,061,001501,8385,40.710004,-74.004793
36061001502,36,061,001502,10378,40.708302,-74.006748
36061001600,36,061,001600,7698,40.715831,-73.99301
36061001800,36,061,001800,7934,40.71891,-73.990616
36061002000,36,061,002000,4648,40.720732,-73.976332
36061002100,36,061,002100,7811,40.714548,-74.009867
36061002201,36,061,002201,6969,40.718886,-73.98207
36061002202,36,061,002202,2488,40.721285,-73.980929
36061002400,36,061,002400,4518,40.724258,-73.974454
36061002500,36,061,002500,4630,40.710504,-73.998707
36061002601,36,061,002601,3609,40.722434,-73.980014
36061002602,36,061,002602,4816,40.724348,-73.978802
36061002700,36,061,002700,1370,40.71255,-73.999279
36061002800,36,061,002800,6819,40.726864,-73.97737
36061002901,36,061,002901,1096,40.713978,-74.001516
36061002902,36,061,002902,4359,40.715336,-73.998582
36061003001,36,061,003001,4663,40.720986,-73.986829
36061003002,36,061,003002,3035,40.722858,-73.985452
36061003100,36,061,003100,2989,40.716968,-74.002743
36061003200,36,061,003200,8372,40.72534,-73.984284
36061003300,36,061,003300,6458,40.718156,-74.005962
36061003400,36,061,003400,7012,40.728966,-73.981382
36061003601,36,061,003601,3513,40.722241,-73.991186
36061003602,36,061,003602,3000,40.724543,-73.990303
